Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2018-09-01,10.611,0
2018-09-02,11.322,0
2018-09-03,12.271,0
2018-09-04,12.81,0
2018-09-05,12.545,0
2018-09-06,11.151,0
2018-09-07,9.041,0
2018-09-08,6.917,0
2018-09-09,5.883,1
2018-09-10,5.856,1
2018-09-11,7.261,1
2018-09-12,7.991,1
2018-09-13,8.978,1
2018-09-14,9.791,1
2018-09-15,10.03,1
2018-09-16,10.006,1
2018-09-17,9.493,1
2018-09-18,7.786,1
2018-09-19,5.982,1
2018-09-20,5.388,1
2018-09-21,5.514,1
2018-09-22,5.619,1
2018-09-23,5.464,1
2018-09-24,4.937,2
2018-09-25,4.758,2
2018-09-26,4.582,2
2018-09-27,4.411,2
2018-09-28,4.245,2
2018-09-29,4.083,2
2018-09-30,3.927,2
