Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-10-22,9.01,0
2019-10-23,9.894,0
2019-10-24,11.448,0
2019-10-25,12.087,0
2019-10-26,10.892,0
2019-10-27,10.838,0
2019-10-28,13.73,0
2019-10-29,14.181,0
2019-10-30,15.955,1
2019-10-31,17.561,1
2019-11-01,21.836,1
2019-11-02,21.507,1
2019-11-03,20.647,1
2019-11-04,18.203,1
2019-11-05,16.195,1
2019-11-06,17.306,1
2019-11-07,18.093,1
2019-11-08,18.457,1
2019-11-09,19.166,1
2019-11-10,18.892,1
2019-11-11,18.507,1
2019-11-12,17.959,1
2019-11-13,17.53,1
2019-11-14,17.923,2
2019-11-15,18.272,2
2019-11-16,18.616,2
2019-11-17,18.952,2
2019-11-18,19.282,2
2019-11-19,19.605,2
2019-11-20,19.921,2
