Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-03-09,22.832,0
2019-03-10,21.162,0
2019-03-11,21.195,0
2019-03-12,21.511,0
2019-03-13,18.23,0
2019-03-14,14.117,0
2019-03-15,18.674,0
2019-03-16,23.244,0
2019-03-17,23.182,1
2019-03-18,22.443,1
2019-03-19,21.375,1
2019-03-20,20.098,1
2019-03-21,18.313,1
2019-03-22,19.278,1
2019-03-23,18.274,1
2019-03-24,15.746,1
2019-03-25,16.171,1
2019-03-26,16.721,1
2019-03-27,16.081,1
2019-03-28,15.429,1
2019-03-29,14.903,1
2019-03-30,15.013,1
2019-03-31,15.182,2
2019-04-01,14.966,2
2019-04-02,14.747,2
2019-04-03,14.525,2
2019-04-04,14.299,2
2019-04-05,14.069,2
2019-04-06,13.835,2
