Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-04-14,2.912,0
2020-04-15,2.592,0
2020-04-16,1.378,0
2020-04-17,2.304,0
2020-04-18,2.718,0
2020-04-19,3.914,0
2020-04-20,3.491,0
2020-04-21,3.043,1
2020-04-22,3.334,1
2020-04-23,4.289,1
2020-04-24,4.801,1
2020-04-25,4.251,1
2020-04-26,3.372,1
2020-04-27,2.91,1
2020-04-28,3.706,1
2020-04-29,4.416,1
2020-04-30,4.354,1
2020-05-01,4.224,1
2020-05-02,4.659,1
2020-05-03,5.25,1
2020-05-04,5.15,1
2020-05-05,4.514,1
2020-05-06,4.634,2
2020-05-07,4.77,2
2020-05-08,4.912,2
2020-05-09,5.059,2
2020-05-10,5.212,2
2020-05-11,5.369,2
2020-05-12,5.532,2
