Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-07-04,14.613,0
2020-07-05,14.694,0
2020-07-06,14.172,0
2020-07-07,13.943,0
2020-07-08,14.93,0
2020-07-09,15.451,0
2020-07-10,15.765,0
2020-07-11,16.133,1
2020-07-12,15.722,1
2020-07-13,15.438,1
2020-07-14,15.456,1
2020-07-15,16.059,1
2020-07-16,16.608,1
2020-07-17,16.82,1
2020-07-18,17.016,1
2020-07-19,16.844,1
2020-07-20,17.093,1
2020-07-21,14.298,2
2020-07-22,14.296,2
2020-07-23,14.291,2
2020-07-24,14.281,2
2020-07-25,14.268,2
2020-07-26,14.251,2
2020-07-27,14.231,2
