Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-10-05,4.78,0
2022-10-06,3.514,0
2022-10-07,7.232,0
2022-10-08,10.673,0
2022-10-09,8.685,0
2022-10-10,6.341,0
2022-10-11,3.935,0
2022-10-12,4.511,1
2022-10-13,7.259,1
2022-10-14,8.321,1
2022-10-15,6.965,1
2022-10-16,8.594,1
2022-10-17,12.024,1
2022-10-18,16.024,1
2022-10-19,15.545,1
2022-10-20,11.031,1
2022-10-21,7.237,1
2022-10-22,9.587,2
2022-10-23,9.959,2
2022-10-24,10.339,2
2022-10-25,10.726,2
2022-10-26,11.121,2
2022-10-27,11.522,2
2022-10-28,11.928,2
