Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2018-10-18,3.035,0
2018-10-19,3.531,0
2018-10-20,3.551,0
2018-10-21,2.091,0
2018-10-22,1.867,0
2018-10-23,1.944,0
2018-10-24,2.156,0
2018-10-25,2.275,0
2018-10-26,2.755,1
2018-10-27,1.983,1
2018-10-28,1.633,1
2018-10-29,1.879,1
2018-10-30,2.101,1
2018-10-31,2.268,1
2018-11-01,2.144,1
2018-11-02,2.168,1
2018-11-03,1.946,1
2018-11-04,1.59,1
2018-11-05,1.76,1
2018-11-06,1.948,1
2018-11-07,1.749,1
2018-11-08,1.594,1
2018-11-09,1.495,1
2018-11-10,1.379,2
2018-11-11,1.322,2
2018-11-12,1.269,2
2018-11-13,1.219,2
2018-11-14,1.172,2
2018-11-15,1.128,2
2018-11-16,1.088,2
