Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2023-03-20,0.034,0
2023-03-21,0.161,0
2023-03-22,1.237,0
2023-03-23,1.768,0
2023-03-24,1.795,0
2023-03-25,1.648,0
2023-03-26,1.482,0
2023-03-27,1.542,1
2023-03-28,0.993,1
2023-03-29,0.584,1
2023-03-30,0.882,1
2023-03-31,1.551,1
2023-04-01,1.598,1
2023-04-02,1.442,1
2023-04-03,2.099,1
2023-04-04,2.549,1
2023-04-05,2.796,1
2023-04-06,2.924,1
2023-04-07,2.938,1
2023-04-08,2.743,1
2023-04-09,2.347,1
2023-04-10,2.027,1
2023-04-11,1.93,1
2023-04-12,1.519,2
2023-04-13,1.546,2
2023-04-14,1.572,2
2023-04-15,1.598,2
2023-04-16,1.625,2
2023-04-17,1.652,2
2023-04-18,1.68,2
