Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-07-10,13.57,0
2020-07-11,13.944,0
2020-07-12,13.277,0
2020-07-13,12.797,0
2020-07-14,12.246,0
2020-07-15,12.162,0
2020-07-16,12.227,0
2020-07-17,13.199,1
2020-07-18,15.076,1
2020-07-19,15.826,1
2020-07-20,15.488,1
2020-07-21,14.832,1
2020-07-22,14.698,1
2020-07-23,14.185,1
2020-07-24,13.936,1
2020-07-25,13.844,1
2020-07-26,14.264,1
2020-07-27,14.583,1
2020-07-28,14.563,1
2020-07-29,14.302,1
2020-07-30,13.743,1
2020-07-31,13.199,1
2020-08-01,13.218,1
2020-08-02,11.809,2
2020-08-03,11.74,2
2020-08-04,11.671,2
2020-08-05,11.601,2
2020-08-06,11.533,2
2020-08-07,11.464,2
2020-08-08,11.397,2
