Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-10-26,17.544,0
2020-10-27,17.242,0
2020-10-28,14.117,0
2020-10-29,14.536,0
2020-10-30,17.586,0
2020-10-31,16.217,0
2020-11-01,15.62,0
2020-11-02,18.238,0
2020-11-03,13.314,1
2020-11-04,9.483,1
2020-11-05,7.187,1
2020-11-06,7.862,1
2020-11-07,9.133,1
2020-11-08,9.244,1
2020-11-09,11.018,1
2020-11-10,11.692,1
2020-11-11,14.083,1
2020-11-12,17.186,1
2020-11-13,18.488,1
2020-11-14,18.166,1
2020-11-15,17.218,1
2020-11-16,17.102,1
2020-11-17,17.221,1
2020-11-18,19.845,2
2020-11-19,20.127,2
2020-11-20,20.399,2
2020-11-21,20.661,2
2020-11-22,20.914,2
2020-11-23,21.16,2
2020-11-24,21.397,2
