Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-10-18,2.356,0
2019-10-19,3.841,0
2019-10-20,4.6,0
2019-10-21,3.613,0
2019-10-22,3.425,0
2019-10-23,2.933,0
2019-10-24,3.476,0
2019-10-25,3.326,1
2019-10-26,3.313,1
2019-10-27,3.566,1
2019-10-28,3.343,1
2019-10-29,3.656,1
2019-10-30,2.663,1
2019-10-31,1.98,1
2019-11-01,2.11,1
2019-11-02,2.185,1
2019-11-03,2.04,1
2019-11-04,1.575,1
2019-11-05,1.141,1
2019-11-06,0.851,1
2019-11-07,1.23,1
2019-11-08,2.099,1
2019-11-09,1.516,2
2019-11-10,1.466,2
2019-11-11,1.417,2
2019-11-12,1.372,2
2019-11-13,1.328,2
2019-11-14,1.286,2
2019-11-15,1.247,2
