Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-04-10,7.639,0
2021-04-11,9.045,0
2021-04-12,10.873,0
2021-04-13,11.175,0
2021-04-14,12.321,0
2021-04-15,14.223,0
2021-04-16,14.67,0
2021-04-17,13.475,0
2021-04-18,11.777,1
2021-04-19,11.775,1
2021-04-20,13.568,1
2021-04-21,16.727,1
2021-04-22,16.41,1
2021-04-23,11.503,1
2021-04-24,12.498,1
2021-04-25,12.266,1
2021-04-26,10.416,1
2021-04-27,5.882,1
2021-04-28,5.143,1
2021-04-29,9.336,1
2021-04-30,7.66,1
2021-05-01,3.986,1
2021-05-02,3.429,1
2021-05-03,7.062,2
2021-05-04,6.842,2
2021-05-05,6.626,2
2021-05-06,6.413,2
2021-05-07,6.203,2
2021-05-08,5.997,2
2021-05-09,5.793,2
